Issue Type,Summary,Description,Status,Priority,Story Points,Components,Labels,Epic Name,Epic Link
Story,S1-16 BE — trial lifecycle,"Create Subscription row on employer register (tier=TRIAL, expiresAt=now()+14d). Trial-feature gate middleware. Expiry cron flips tier=EXPIRED + auto-deactivates ACTIVE jobs. RTM: M10-AC1, M10-AC2, M10-AC3, M10-AC6.",To Do,Highest,2,M10,"sprint-1,owner-asrar,role-be,risk-medium",,M10 Subscription & Payments
Story,S1-17 BE — Razorpay sandbox checkout + webhook,"POST /api/subscriptions/checkout creates Order. Webhook handler POST /api/webhooks/razorpay with HMAC sig verification + idempotency on provider_event_id. Flips tier=PRO, expiresAt=now()+30d, writes PaymentHistory. RTM: M10-AC4, M10-AC8, M10-AC13. Plan B fallback for capacity overflow: defer to early S2.",To Do,Highest,2,M10,"sprint-1,owner-asrar,role-be,risk-high",,M10 Subscription & Payments
Story,S1-FE-PORT — switch base URL 8080 → 5000,"Switch base URL localhost:8080 → localhost:5000 (env-driven NEXT_PUBLIC_API_URL). Commit .env.example. R1. RTM: M15-AC1.",To Do,High,1,M15,"sprint-1,owner-nazir,role-fe,risk-medium",,M15 Cross-Cutting
Story,S1-FE-PATHS — rename FE API paths,"Rename all API paths in lib/api.ts: /job-seeker/* → /api/jobseekers/*, /employer/* → /api/employers/*, etc. Coordinate path list with Asrar. R1. RTM: M15-AC2.",To Do,Highest,2,M15,"sprint-1,owner-nazir,role-fe,risk-medium",,M15 Cross-Cutting
Story,S1-FE-AUTH — Bearer token interceptor + AuthContext,"Bearer-token interceptor + AuthContext (localStorage + memory). Login/logout flows. Replace localStorage-only hacky auth. RTM: M15-AC3.",To Do,Highest,2,M15,"sprint-1,owner-nazir,role-fe,risk-medium",,M15 Cross-Cutting
Story,S1-FE-GUARDS — protected route guards + 401 redirect,"Protected route guards + 401 → redirect-to-login. Role-based route gating (seeker vs employer vs admin). RTM: M15-AC3.",To Do,High,1,M15,"sprint-1,owner-nazir,role-fe,risk-low",,M15 Cross-Cutting
Story,S1-FE-REG — rework FE registration screens,"Rework registration for both seeker AND employer to phone-first multi-step (no Aadhaar). Fix OTP widget 4-digit → 6-digit. Wire to new BE endpoints. Employer doc-upload split into separate post-register step (locked 2026-05-13). RTM: M1-AC1, M1-AC2, M1-AC3.",To Do,Highest,2,M1,"sprint-1,owner-nazir,role-fe,risk-medium",,M1 Authentication & Identity
Story,S1-FE-LOGIN — FE login for all 3 methods,"Login screens for phone+OTP, email+pwd, Google OAuth. Shared for seeker AND employer. Admin login email+pwd only. Replaces hardcoded admin creds path. RTM: M1-AC5, M1-AC6.",To Do,High,1,M1,"sprint-1,owner-nazir,role-fe,risk-low",,M1 Authentication & Identity
Story,S1-MOB-AUTH — Mobile phone-first registration,"Mobile phone-first registration flow for BOTH seeker AND employer (5-step each per Job_Portal_Mobile.pdf). 6-digit OTP widget. Wire to BE. RTM: M1-AC1, M1-AC2, M1-AC3.",To Do,Highest,5,M1,"sprint-1,owner-dheeraj,role-mobile,risk-medium",,M1 Authentication & Identity
Story,S1-MOB-LOGIN — Mobile login for all 3 methods,"Login screens for phone+OTP, email+pwd, Google OAuth via @react-native-google-signin/google-signin. Store JWT in MMKV. RTM: M1-AC5.",To Do,Highest,2,M1,"sprint-1,owner-dheeraj,role-mobile,risk-medium",,M1 Authentication & Identity
Story,S1-MOB-SHELL — Mobile bottom nav shells,"Bottom nav shells — 4 tabs seeker (Home / Job Feed / My List / Profile), 5 tabs employer (Home / Job Post / Candidates / Messages / Profile). Role-based shell selection on login.",To Do,High,1,M15,"sprint-1,owner-dheeraj,role-mobile,risk-low",,M15 Cross-Cutting
Story,S1-18 Draft 8-12 WhatsApp templates for Meta submission,"Draft OTP / app-accepted / app-rejected / app-shortlisted / interview-scheduled / interview-24h / interview-2h / payment-confirmed / doc-approved / doc-rejected / employer-message / password-reset templates. Hand to Shaik for submission. RTM: M9-AC3.",To Do,High,1,M9,"sprint-1,owner-asrar,role-be,risk-medium",,M9 Notifications
Story,S1-19 Infra — stand up staging + CI,"Stand up staging environment (BE + DB + FE web + mobile build). CI on every PR (lint + typecheck + smoke on BE; lint + typecheck + build on FE web + mobile). Target: staging up by Fri 2026-05-17 (S1 mid). RTM: M15-AC8, M15-AC9.",To Do,High,2,M15,"sprint-1,owner-nayan,role-infra,risk-medium",,M15 Cross-Cutting
